mission name	date	data
STS-58	10/22/1993	“Jump In the Line” by Harry Belafonte; and “Doctor! Doctor!” by Thompson Twins.
STS-58	10/23/1993	“I Know You’re Out There, Somewhere” by The Moody Blues 
STS-58	10/24/1993	“Back Home in Indiana” by Jim Nabors for Mission Specialist David Wolf, who hails from Indianapolis.
STS-58	10/25/1993	“Shiny Happy People” by R.E.M.
STS-58	10/26/1993	Happy Trails” by Roy Rogers
STS-58	10/27/1993	“Look At Us Now” by Joe Walsh
STS-58	10/28/1993	No wakeup call sent.
STS-58	10/29/1993	“From A Distance”  by Bette Midler
STS-58	10/30/1993	Theme from “St.Elsewhere” by Mike Post
STS-58	10/31/1993	“Monster Mash” by Bobby “Boris” Pickett
STS-58	11/01/1993	No wakeup call sent.
STS-61	12/02/1993	"“Cosmos” by Frank Hayes (6:57 p.m.) outside,"" “Hey, good morning, Houston. It can’t be morning -- It’s still dark outside,” shuttle pilot Ken Bowersox told misslon control. “No. You're confused again, Sox. Good morning,” a Houston fllght controller prodded him."
STS-61	12/03/1993	“Get Ready” by Rare Earth
STS-61	12/04/1993	“Fanfare for the Common Man” by Aaron Copland
STS-61	12/05/1993	“With a Little Help From My Friends” by The Beatles
STS-61	12/06/1993	“Doctor My Eyes” by Jackson Browne
STS-61	12/07/1993	“I Can See Clearly Now” by Johnny Nash
STS-61	12/08/1993	A traditional Swiss Alpine song chosen by Mission Specialist Claude Nicollier
STS-61	12/09/1993	“A Hard Day’s Night” by The Beatles
STS-61	12/10/1993	“Mamas Don’t Let Your Babies Grow Up to Be Cowboys” by Willie Nelson
STS-61	12/11/1993	“My Heroes Have Always Been Cowboys” by Willie Nelson
STS-61	12/12/1993	“I Can See For Miles” by The Who
STS-60	02/04/1994	“Early Morning Riser” by Pure Prairie League
STS-60	02/05/1994	“Rawhide” sung by the STS-60 simulation and training team
STS-60	02/06/1994	“The Bug” by Mary Chapin Carpenter
STS-60	02/07/1994	“Let There Be Peace on Earth” sung by the fourth graders of the Armand Bayou Elementary School in Clear Lake. One of the singers was Emily Reightler, the daughter of shuttle pilot Ken Reightler.  She was celebrating her tenth birthday.
STS-60	02/08/1994	“Sweet Home Alabama” by Lynyrd Skynyrd in honor of astronaut Jan Davis of Huntsville.
STS-60	02/09/1994	Russian folk tunes in honor of Mission Specialist Sergei Krikalev, the first Russian cosmonaut to fly aboard a U.S. spacecraft.
STS-60	02/10/1994	“I Get Around” by The Beach Boys.
STS-60	02/11/1994	“Homeward Bound” by Simon and Garfunkel.
STS-62	03/05/1994	“I Got You (I Feel Good)” by James Brown
STS-62	03/06/1994	“Picky, Picky Head” by Wailing Souls from movie, “Cool Runnings”. 
STS-62	03/07/1994	Medley of Armed Forces anthems sung by the U.S. Military Glee Club: The Air Force Song  (“Off We Go Into the Wild Blue Yonder”), “Anchors Aweigh”, U.S. Army Anthem, “The Caissons Go Rolling Along” and The Marine Corps Hymn “Halls of Montezuma”. The five person crew included Air Force --  Casper, Marine -- Allen, Army -- Gemar, Navy -- Thuot, and civilian Ivins. This is the first time all of the major Armed Forces were represented on once space mission, hence the medley. PC
STS-62	03/08/1994	“Space Shuttle Boogie” written by Cindy and Michael Rosenbaum
STS-62	03/09/1994	“Wake the World” by The Beach Boys
STS-62	03/10/1994	Marine Corps Hymn “Halls of Montezuma”
STS-62	03/11/1994	“Takin' Care of Business” by Bachman-Turner Overdrive.
STS-62	03/12/1994	“Be Our Guest” from movie “Beauty and the Beast” soundtrack in honor of the commander's two children
STS-62	03/13/1994	Crew with ½ day off, beat MCC to wakeup call.  They sent down “Surfin’ USA” by The Beach Boys. MCC responded with “I Get Around” by The Beach Boys.
STS-62	03/14/1994	“Starship Trooper” by Yes.
STS-62	03/15/1994	“View From Above” written and performed by Allison Brown, who was inspired to write the song by Mission Specialist Marsha Ivins.
STS-62	03/16/1994	“Travelin’ Prayer” by Billy Joel.
STS-62	03/17/1994	“Living in Paradise” by The Brothers Cazimero
STS-62	03/18/1994	“The Mermaid” by The Clancy Brothers.
STS-59	04/18/1994	Blue Team: “Freedom” performed by the White Elementary School 5th grade choir. Mission Specialist Rich Clifford’s son, Brandon, was a student at White.
STS-64	09/10/1994	Parody of The Beach Boys song “Fun, Fun, Fun” called “We’ll Have Fun, Fun, Fun on the Shuttle,” sung by Max Q (from Mach 25 tape).
STS-64	09/11/1994	Parody of the song “My Girl” called “My World” by Max Q (from Mach 25 tape).
STS-64	09/12/1994	“Ace in the Hole” by George Strait.
STS-64	09/13/1994	Parody of  The Beach Boys song  “I Get Around” called “We Orbit Around” by Max Q (from Mach 25 tape).
STS-64	09/14/1994	Parody of the “Green Acres” TV theme by Max Q (from Mach 25 tape) called “On Orbit”.
STS-64	09/15/1994	“Hound Dog” by Elvis Presley
STS-64	09/16/1994	“EVA” Surfing” by Max Q (from Mach 25 tape).
STS-64	09/17/1994	“Another Saturday Night” by Max Q (from Mach 25 tape). 
STS-64	09/18/1994	“This Is the Time” by Billy Joel.
STS-64	09/19/1994	“Yakety Yak” by The Coasters.
STS-64	09/20/1994	Sounds of chirping birds and a crowing rooster and a medley of cartoon theme songs including Woody Woodpecker.
STS-68	10/11/1994	"""Tiny Bubbles"" There was a problem with the galley water system "
STS-63	02/04/1995	“On Orbit is the Place to Be” by Max Q (from Mach 25 tape).
STS-63	02/05/1995	“Another Saturday Night” by Max Q (from Mach 25 tape).
STS-63	02/06/1995	“Make New Friends” From a Girl Scout Brownie troop (the daughter of the  people who send flowers to MCC each mission is in the troop)
STS-63	02/07/1995	“Blue Danube Waltz” from soundtrack of  “2001, A Space Odyssey”
STS-63	02/08/1995	Opening sequence of “Time” from Pink Floyd's album, “Dark Side of the Moon”
STS-63	02/09/1995	“Surfing EVA” by Max Q (from Mach 25 tape).
STS-63	02/10/1995	“Liberty Bell March” better known as the theme from the TV show, “Monty Python's Flying Circus.”
STS-63	02/11/1995	“The End” by The Doors.       
STS-71	06/28/1995	“I Got You Babe” by Sonny and Cher.
STS-71	06/29/1995	“From a Distance” by Nancy Griffith.  It was preceded by special birthday greetings to Pilot Charlie Precourt from his wife and daughters.
STS-71	06/30/1995	“Your Wildest Dreams” by The Moody Blues.
STS-71	07/01/1995	Russian pop song “Kuca, Kuca, Kuca” (pronounced Keesa Keesa Keesa)
STS-71	07/02/1995	“Changes in Latitudes, Changes in Attitudes” by Jimmy Buffett
STS-71	07/03/1995	The Florida State Seminole Fight Song “…in honor of former Seminole Norm Thagard…celebrating his 52nd birthday today”.
STS-71	07/04/1995	“America the Beautiful” by Whitney Houston was sent to wakeup Atlantis’ crew just before the undocking with the Mir space station.
STS-71	07/05/1995	“Flying solo and ahead of the Mir space station by about 120 nautical miles, the crew on board Atlantis awoke to a children’s song, ‘I Love My Moon,’ a special dedication to Commander Hoot Gibson from his 26-day old daughter Emilee Louise.” Query Book has singer as Tonja Weimer.
STS-71	07/06/1995	Parodies of the Beatles’ “Hello, Goodbye” and Paul Anka’s “Lay Your Head on My Shoulder”.
STS-71	07/07/1995	“Take the Long Way Home” by Supertramp.
STS-70	07/14/1995	“The crew of STS-70 was awakened shortly after three this morning Central time to the theme from ‘Woody Woodpecker,’ a cartoon character adopted as the mascot for the mission when real woodpeckers plucked holes in protective insulation on Discovery’s external fuel tank last month causing a delay in the mission.” MCC Status Report
STS-70	07/15/1995	“The workday began shortly after two o’clock this morning with a wakeup call from Kate Smith singing ‘Beautiful Ohio’ in honor of four of the five crewmembers being from that state.” MCC Status Report
STS-70	07/16/1995	“The crew was awakened at 1:11 a.m. CDT to the sounds of Mission Specialist Nancy Currie’s 8-year-old daughter, Stephanie, and her Ferguson Elementary School second-grade classmates singing ‘God Bless the USA.’ ” MCC Status Report. JSC Query Book has song as “God Bless America.”
STS-70	07/17/1995	Fight song for the Cleveland Indians, “Talkin’ Tribe.”  “Mission Specialist Mary Ellen Weber responded with ‘Good mornin’ Houston, how ‘bout then Indians?’” MCC Status Report
STS-70	07/18/1995	“Beer Barrel Polka” by Gene Hackemack – because Cleveland is the polka capital of the world. Mission Control sent the theme from the movie “Starman” as a good night call.
STS-70	07/19/1995	Unknown.
STS-70	07/20/1995	“Eyes of Texas”, a UT song. Randy Stone switched from an Aggie song to a UT song.
STS-69	09/08/1995	“Hound Dog” by Elvis Presley.
STS-69	09/09/1995	Theme from “Scooby Doo.”
STS-69	09/10/1995	“Bingo” sung by Madeline Cockrell’s  (Pilot Kenneth Cockrell’s five-year-old daughter) kindergarten class.
STS-69	09/11/1995	Theme from “Rin Tin Tin”.
STS-69	09/12/1995	“A Hard Day’s Night” by The Beatles.
STS-69	09/13/1995	Theme from the film “Patton”, a tribute to Jim Voss who was promoted to  the rank of Colonel in the U.S. Army.
STS-69	09/14/1995	Theme from cartoon TV show, “Underdog”, attribute to Mike Gernhardt who has the same nickname.
STS-69	09/15/1995	“He’s A Tramp” from the cartoon movie “Lady and the Tramp”.
STS-69	09/16/1995	“Walk Like a Man” by Frankie Valli and The Four Seasons.
STS-69	09/17/1995	“Snoopy’s Theme” from animated cartoon TV show, “Peanuts.”
STS-74	11/13/1995	“Dance of the Flowers” by Tchaikovsky. Referring to orbital ballet Atlantis will perform to dock with Mir.
STS-74	11/14/1995	“Yeager’s Triumph” from “The Right Stuff” by Bill Conti.
STS-74	11/15/1995	“Somewhere Over the Rainbow” by Arlen, Harburg, and Stothart from the film, “The Wizard of Oz”. Sung by Judy Garland.
STS-74	11/16/1995	“Blue Danube” by Johann Strauss.
STS-74	11/17/1995	“Northwest Passage” by Stan Rogers.
STS-74	11/18/1995	“Do Wah Diddy Diddy” performed as as a drill team chant cadence.
STS-74	11/19/1995	Theme from the IMAX film, “The Dream is Alive.”
STS-72	01/12/1996	Theme from “Star Wars” by John Williams.
STS-72	01/13/1996	“Sea in Springtime” (traditional Japanese song) for Koichi Wakata and SFU retrieval.
STS-72	01/14/1996	Theme from the original “Godzilla” film.
STS-72	01/15/1996	“Star Trek Next Generation” theme by James Horner.
STS-72	01/16/1996	“Smallest Astronaut” by The Royal Guardsmen.
STS-72	01/17/1996	“Heigh-Ho, Heigh-Ho, It’s Off To Work We Go” from movie “Snow White.”
STS-72	01/18/1996	“All I Wanna Do” by Sheryl Crow.
STS-72	01/19/1996	“Darth Vader’s Theme” from “Star Wars” film.
STS-72	01/20/1996	Theme from the IMAX film, “The Dream is Alive.”
STS-76	03/23/1996	“Anywhere is…” by Enya for Rick Searfoss.
STS-76	03/24/1996	“When the Roll is Called Up Yonder” referring to Shannon Lucid’s arrival the next day.
STS-76	03/25/1996	“Awake, the Harp” by Haydn, recorded by the Houston Choral Society for Mission Specialist   Ron Sega.
STS-76	03/26/1996	“Another Saturday Night” by Max Q 
STS-76	03/27/1996	“Free Flying” written by Brandon and Richard Clifford for father Michael Clifford’s spacewalk that day.
STS-76	03/28/1996	“Jumpin’ at the Woodside” by Brass, Rhythm and Reed.
STS-76	03/29/1996	“Stars and Stripes Forever” by John Philip Sousa.
STS-77	05/20/1996	The Air Force Song  (“Off We Go Into the Wild Blue Yonder”) in honor of Commander John H. Casper, an Air Force Colonel, and pilot Curtis L. Brown, an Air Force Lieutenant Colonel.                 
STS-77	05/21/1996	“Up, Up and Away” by The Fifth Dimension in honor of the Inflatable Antenna Experiment conducted yesterday as part of the Spartan mission.
STS-77	05/22/1996	“Anchors Aweigh”
STS-77	05/23/1996	“Milky Way”, a children’s song provided by Casper’s wife, Chris.
STS-77	05/24/1996	“Hold Me, Thrill Me, Kiss Me” by Gloria Estefan, requested by Curt Brown’s fiancee.
STS-77	05/25/1996	“Down Under” by Men At Work, in honor of Australian-born Mission Specialist Andy Thomas
STS-77	05/26/1996	“Up Down, and Touch the Ground” Tigger and his friends from “Winnie the Pooh” sing-a-long
STS-77	05/27/1996	“Light My Fire” by The Doors. (Pre-sleep music: “Good Night Sweetheart” by The Spaniels.
STS-77	05/28/1996	“Start Me Up” by The Rolling Stones
STS-77	05/29/1996	“I Can See Clearly Now” by Jimmy Cliff
STS-78	06/21/1996	“Free Fallin’” by Tom Petty.
STS-78	06/22/1996	“Bad to the Bone” by George Thorogood & the Destroyers referring to musculoskeletal science experiments.
STS-78	06/23/1996	“Flight of the Bumblebee” performed by the 1980 U.S. Air Force Academy Drum and Bugle Corps.  Payload commander Susan Helms played xylophone on the recording.
STS-78	06/24/1996	“Space Oddity” by David Bowie.  The “Major Tom” reference is to Tom Henricks.
STS-78	06/25/1996	“She Blinded Me With Science” by Thomas Dolby
STS-78	06/26/1996	“Back on the Chain Gang” by The Pretenders. The crew went back to work after a day off.
STS-78	06/27/1996	“Every Breath You Take” by The Police. Refers to lung function experiment.
STS-78	06/28/1996	“Carolina in My Mind” by James Taylor. Charles Brady considers Robbins, NC his home.
STS-78	06/29/1996	“Another Saturday Night” by Max Q, the all-astronaut band, with Susan Helms on keyboards
STS-78	06/30/1996	“Les Murs De Poussiere (Dusty Walls)” by Francis Cabrel for Favier.
STS-78	07/01/1996	“Oh, Canada” the Canadian National Anthem by Vienna State Opera Orchestra for Brent  Thirsk
STS-78	07/02/1996	“Closer to Free” by The BoDeans for Linnehan.
STS-78	07/03/1996	“Wake Up Little Susie” by The Everly Brothers for Helms.
STS-78	07/04/1996	“God Bless the U.S.A.” by Lee Greenwood; “Born in the USA” by Bruce Springsteen for the 4th of July.
STS-78	07/05/1996	“Birthday” by The Beatles for Henricks 44th birthday.
STS-78	07/06/1996	“Don’t Bring Me Down” by The Electric Light Orchestra
STS-78	07/07/1996	“Time For Me to Fly” by REO Speedwagon.
STS-79	09/16/1996	“Duke of Earl” by Gene Chandler.
STS-79	09/17/1996	“Rescue Me” by Fontella Bass.
STS-79	09/18/1996	"""Hold On (I'm Coming)"" performed by Sam and Dave referring to the return of Shannon Lucid."
STS-79	09/19/1996	“Whole Lotta Shakin’ Goin’ On” by Jerry Lee Lewis referring to the ARIS experiment. ARIS = Active Rack Isolation System, a set of 
STS-79	09/20/1996	“Cheeseburger in Paradise” by Jimmy Buffett referring to Shannon Lucid’s thoughts of her diet after returning to Earth.
STS-79	09/21/1996	“Another Saturday Night” By Max Q.  Carl Walz is a member.
STS-79	09/22/1996	“Got Me Under Pressure” by ZZ Top referring to the raising of cabin pressure to 15.5 psi to transfer oxygen and nitrogen to Mir.
STS-79	09/23/1996	"""Please Don't Leave Me"" by Fats Domino.  Some music for undocking day"
STS-79	09/24/1996	“Only Wanna Be With You” by Hootie and the Blowfish referring to the impending return of Lucid to her family.
STS-79	09/25/1996	“Danger Zone” by Kenny Loggins. Played in honor of the two Navy crewmen on board, Bill Readdy and Terrence Wilcutt. Wilcutt's a Marine, not Navy. (The Navy trains the Marine pilots so it's still a valid connection.) PC
STS-80	11/20/1996	“I Can See For Miles” by The Who
STS-80	11/21/1996	“Theme From Fireball XL5”
STS-80	11/22/1996	“Roll With the Changes” by REO Speedwagon; Some Phil Collins/Genesis
STS-80	11/23/1996	“Reelin’ and Rockin’” by Chuck Berry
STS-80	11/24/1996	“Roll With It” by Steve Winwood
STS-80	11/25/1996	“Good Times Roll” by The Cars
STS-80	11/26/1996	“Red Rubber Ball” by Cyrkle
STS-80	11/27/1996	“Alice’s Restaurant” by Arlo Guthrie
STS-80	11/28/1996	“Some Guys Have All the Luck” by Robert Palmer
STS-80	11/29/1996	“Changes” by David Bowie
STS-80	11/30/1996	“Break On Through” by The Doors
STS-80	12/01/1996	“Shooting Star” by Bad Company
STS-80	12/02/1996	“Stay” by Jackson Browne
STS-80	12/03/1996	“Return to Sender” by Elvis Presley
STS-80	12/04/1996	“Should I Stay or Should I Go” by The Clash
STS-80	12/05/1996	“Nobody Does It Better” by Carly Simon
STS-80	12/06/1996	“Please Come Home For Christmas” by Sawyer Brown
STS-81	01/13/1997	“Free Ride” by The Edgar Winter Group
STS-81	01/14/1997	“It Keeps You Runnin’ ” by The Doobie Brothers
STS-81	01/15/1997	“Hitchin’ a Ride” by Vanity Fare
STS-81	01/16/1997	“Celebration” by Kool and the Gang
STS-81	01/17/1997	“I Got You (I Feel Good)” by James Brown
STS-81	01/18/1997	“Mack the Knife” by Bobby Darin
STS-81	01/19/1997	“Ticket to Ride” by The Beatles (1:27 GMT)
STS-81	01/19/1997	“So Long, Farewell” from “The Sound of Music” (23:27 GMT)
STS-81	01/21/1997	“My Favorite Marcia” by The Allison Brown Quartet
STS-81	01/22/1997	"""Day-O,The Banana Boat Song"" - Harry Belafonte"
STS-82	02/12/1997	“Magic Carpet Ride” by Steppenwolf
STS-82	02/13/1997	“These Are Days” by 10,000 Maniacs
STS-82	02/14/1997	“Two Princes” by Spin Doctors
STS-82	02/15/1997	“Higher Love” by Steve Winwood
STS-82	02/16/1997	“The Packerena” For Mark Lee
STS-82	02/17/1997	“Shiny Happy People” by R.E.M.
STS-82	02/18/1997	“Dreams” by The Cranberries
STS-82	02/19/1997	“That Thing You Do!” Theme from the motion picture
STS-82	02/20/1997	“Five Hundred Miles Away From Home” by Reba McEntire
STS-82	02/21/1997	“Sloop John B.” by The Beach Boys (down linked by crew)
STS-84	05/16/1997	“Those Magnificent Men in Their Flying Machines” by The American Military Band.
STS-84	05/17/1997	“Hold On, I’m Coming” by Sam and Dave
STS-84	05/18/1997	“British National Anthem – God Save the Queen ”
STS-84	05/19/1997	“French National Anthem - La Marseillaise”
STS-84	05/20/1997	“Peruvian National Anthem”
STS-84	05/21/1997	“Russian National Anthem”
STS-84	05/22/1997	“Triste et Bleu (Sad and Blue)” - Michel Jonasz
STS-84	05/23/1997	“Anchors Aweigh/ The Air Force Song (“Off We Go Into the Wild Blue Yonder”) USAF Theme/Marine Hymn” by The West Point Cadet Glee Club
STS-84	05/24/1997	“U.S. National Anthem”
STS-85	08/08/1997	“To the Moon and Back” by Savage Garden
STS-85	08/09/1997	“Don’t Look Down” by Lindsay Buckingham
STS-85	08/10/1997	“My Home’s In Alabama” by Alabama
STS-85	08/11/1997	“Chances Are” by Johnny Mathis
STS-85	08/12/1997	“The House is Rockin’” by Stevie Ray Vaughn
STS-85	08/13/1997	“Good Vibrations” by The Beach Boys
STS-85	08/14/1997	“You Will Go to the Moon” by Moxy Fruvous
STS-85	08/15/1997	“Stay” by Jackson Browne
STS-85	08/16/1997	“Mighty Iron Arm Atom” or “Atom Boy” Theme song to Japanese cartoon.
STS-85	08/17/1997	“You’re Not From Texas” by Lyle Lovett
STS-85	08/18/1997	“So Far Away” by Dire Straits
STS-85	08/19/1997	“Running On Empty” by Jackson Browne
STS-86	09/26/1997	“Roll on Down the Highway” by Bachman-Turner Overdrive
STS-86	09/27/1997	“Dancing in the Dark” by Bruce Springsteen
STS-86	09/28/1997	“Takin’ Care of Business” by Bachman-Turner Overdrive
STS-86	09/29/1997	“What I Like About You” by The Romantics
STS-86	09/30/1997	“Grand Ol' Flag” as played on the piano by Wetherbee's daughter Jenny Wetherbee
STS-86	10/01/1997	“What a Wonderful World” by Louis Armstrong
STS-86	10/02/1997	“Impression That I Get” by The Mighty Mighty Bosstones
STS-86	10/03/1997	“Fanfare For the Common Man” by The Orlando Pops
STS-86	10/04/1997	“Let It Ride” by Bachman-Turner Overdrive
STS-86	10/05/1997	“Shake, Rattle and Roll” by Huey Lewis and the News
STS-86	10/06/1997	“Homeward Bound” by Simon and Garfunkel
STS-87	11/20/1997	“Hitchin’ a Ride” by Vanity Fare
STS-87	11/21/1997	“Theme from New York, New York” by Frank Sinatra
STS-87	11/22/1997	“Ginga Shounen Tai” (Galaxy Boys) Theme from a Japanese science fiction puppet show
STS-87	11/23/1997	The Air Force Song (“Off We Go Into the Wild Blue Yonder”) by Air Force Academy Cadet Chorus
STS-87	11/24/1997	“Walk of Life” by Dire Straits
STS-87	11/25/1997	“Mishra Piloo” by Ravi Shankar
STS-87	11/26/1997	“Ukrainian National Anthem”
STS-87	11/27/1997	“America the Beautiful” by the U.S. Air Force Academy Cadet Chorale
STS-87	11/28/1997	“Florida State University Seminoles Fight Song”
STS-87	11/29/1997	“California Dreamin’ ” by The Mamas and the Papas
STS-87	11/30/1997	“This Island Earth” by The Nylons
STS-87	12/01/1997	“Ultraman” Theme from Japanese TV science fiction cartoon show
STS-87	12/02/1997	“Centerfield” by John Fogerty
STS-87	12/03/1997	“Flight of the Bumble Bee” Rimsky-Korsakov
STS-87	12/04/1997	“Should I Stay or Should I Go” by The Clash
STS-89	01/23/1998	“It’s Not Unusual” by Tom Jones
STS-89	01/24/1998	“Calypso” by John Denver
STS-89	01/25/1998	“Friends, We Are Migrant Birds” An old Russian pilots’ song
STS-89	01/26/1998	“Singer From Down Under” by Slim Dusty chosen by NASA to
STS-89	01/27/1998	“Clap For the Wolfman” by Burton Cummings in honor of astronaut David Wolf who joined the crew after 120 days aboard Mir.
STS-89	01/28/1998	“Hide Away” by Stanley Clarke. For Mike Anderson PC
STS-89	01/29/1998	“Here We Go Loopty-Loo” (“Lupe de Lue”) by Little Richard and The Disney Kids
STS-89	01/30/1998	“Bad To the Bone” by George Thorogood and the Destroyers
STS-89	01/31/1998	“Breakfast Blues” by Trout Fishing in America
STS-90	04/18/1998	“Think” by Aretha Franklin
STS-90	04/19/1998	“Take Me Out to the Ball Game” sung by Harry Carey
STS-90	04/20/1998	“Doctor My Eyes” by Jackson Browne
STS-90	04/21/1998	“Bad To the Bone” by George Thorogood and the Destroyers
STS-90	04/22/1998	“Bad Case of Loving You” by Robert Palmer
STS-90	04/23/1998	“I Got You (I Feel Good)” by James Brown
STS-90	04/23/1998	“This Land Is Your Land” by Rod Taylor
STS-90	04/24/1998	“She Drives Me Crazy” by The Fine Young Cannibals
STS-90	04/25/1998	“Every Breath You Take” by The Police
STS-90	04/26/1998	“Fight On, State” Fight Song for Penn State University
STS-90	04/27/1998	“Turn, Turn, Turn” by The Byrds
STS-90	04/28/1998	“Take a Chance on Me” by Abba
STS-90	04/29/1998	“Round and Round” by Ratt
STS-90	04/30/1998	“Cruise Control” by Bruce Hornsby
STS-90	05/01/1998	“If I Only Had a Brain” from “The Wizard of Oz”
STS-90	05/02/1998	“Stir It Up” by Bob Marley and the Wailers
STS-91	06/03/1998	“Shake, Rattle, and Roll” by Huey Lewis and the News in honor of the flawless liftoff
STS-91	06/04/1998	“Come Go With Me” by the Del Vikings in honor of Andrew Thomas’ return from Mir
STS-91	06/05/1998	“South Australia” by The Sundowners
STS-91	06/06/1998	“You Really Got Me” by The Kinks
STS-91	06/07/1998	“Travelin’ Band” by Creedence Clearwater Revival
STS-91	06/08/1998	“Manic Monday” by The Bangles in honor of an historic Monday for the U.S. and Russian space programs ending the three year Shuttle/Mir program
STS-91	06/09/1998	“How Bizarre” by O.M.C
STS-91	06/10/1998	“Superman” - TV Theme Song played in honor of Franklin Chang-Diaz’s record-breaking time in orbit aboard a Space Shuttle, a total of more than 51 days spent in orbit during six shuttle flights.
STS-91	06/11/1998	“Interplanet Janet” Song from the “Schoolhouse Rock” educational videotape series played in honor of Janet Kavandi
STS-91	06/12/1998	“Homeward Bound” by Simon and Garfunkel
STS-95	10/30/1998	“What a Wonderful World” Louis Armstrong. Played for Mission Specialist Scott Parazynski from his wife, Gail.
STS-95	10/31/1998	“Cachito”  Nat King Cole. This song about parenthood was directed to Pedro Duque and his wife, Consuelo, who recently has a baby.
STS-95	11/01/1998	“This Pretty Planet” Tom Chapin requested by pilot Steve Lindsay’s wife Diane And/or “Hallelujahs” by Chris Rice.
STS-95	11/02/1998	"“Moon River” Andy Williams. Annie Glenn requested it as a tribute to the friendship between Williams and her husband. ""I was sleeping very, very soundly this morning when the wake up call came in,” Glenn said."
STS-95	11/03/1998	"“The House is Rockin’” Stevie Ray Vaughn. In honor of Mission Specialist Steve Robinson known as “Stevie Ray Robinson” by other members of his astronaut band, “Max Q”. ""That's what I call wake-up music. Good day to go get a satellite,"" he told Mission Control."
STS-95	11/04/1998	“Wakaki Chi,” (“Young Spirit”) a cheering song from Keio University where Payload Specialist Chiaki Mukai received her medical degree.
STS-95	11/05/1998	“I Know You’re Out There Somewhere” The Moody Blues. Chosen by Commander Curt Brown’s family.
STS-95	11/06/1998	“Voyage Into Space”, an original composition written for John Glenn by composer   and pianist Peter Nero, a long-time friend of the Glenns.
STS-95	11/07/1998	“La Cucaracha”. Played for Pedro Duque at request of his wife, Consuelo.
STS-88	12/04/1998	"""Get Ready"" by the Temptations, an appropriate description of the full slate of activities the  crew will be involved with as they get ready for the important events of the flight by checking out the equipment and tools that will be utilized during rendezvous, docking and space walking activities."
STS-88	12/05/1998	“Anchors Aweigh”
STS-88	12/06/1998	“Somewhere Over the Rainbow” - Judy Garland.  Requested by Bob Cabana’s daughter, Judy
STS-88	12/07/1998	"“Jerry the Rigger,"" an old Celtic song. In honor of Mission Specialist Jerry Ross, who with fellow Mission Specialist Jim Newman, will conduct more than 18 hours of space walks during this flight."
STS-88	12/08/1998	“Streets of Bakersfield” - Dwight Yoakum. Requested by the wife of Pilot Rick Sturckow, a California native.
STS-88	12/09/1998	“Floating in the Bathtub” selected for Mission Specialist Jim Newman by his wife, Mary Lee.                                      
STS-88	12/10/1998	“God Bless the USA”- Lee Greenwood. Played for Mission Specialist -2, Nancy Currie at the request of her husband, David.
STS-88	12/11/1998	“Trepak” a Russian dance from Tchaikovsky’s “The Nutcracker” in honor of cosmonaut and Mission Specialist Sergei Krikalev.
STS-88	12/12/1998	“Hound Dog” - Elvis Presley
STS-88	12/13/1998	"“Goodnight Sweetheart, Goodnight” - The Spaniels. As the crew prepare to say ""goodnight"" to the space station."
STS-88	12/14/1998	"“I Got You (I Feel Good)” - James Brown. In honor of the good feelings evoked by this successful first International Space Station Assembly mission.  “We really feel terrific,” Nancy Currie said in replying to ground controllers in Houston, who broadcast the song into space. ""We're ready to start packing and come home to see our families just in time for Christmas."""
STS-88	12/15/1998	“Ride of the Valkyries” - Richard Wagner
STS-96	05/27/1999	“California Dreamin‘” – Mamas and the Papas -- played for Mission Specialist Tammy Jernigan 
STS-96	05/28/1999	“Danger Zone” – Kenny Loggins played in honor of Commander Kent Rominger, an alumnus of the Naval Fighter Weapons School of “Top Gun” fame.                         
STS-96	05/29/1999	Themes from “Star Wars” by the Space Center Intermediate Band. Mission Specialist  Dan Barry’s daughter Jenny plays flute in that band.
STS-96	05/30/1999	“Morning Colors” – U.S. Coast Guard Band or “Morning Call” by USMC Band.
STS-96	05/31/1999	“Amarillo by Morning” by George Strait. Played in honor of Pilot Rick Husband, who is from Amarillo, Texas.
STS-96	06/01/1999	“Exultate Jubilate” by Mozart. This is a favorite of Canadian Space Agency astronaut Julie Payette.
STS-96	06/02/1999	“Vasha Blagarodye”, a Russian song, followed by “The Charleston”.   Played for cosmonaut Valery Tokarev and Mission Specialist Ellen Ochoa.
STS-96	06/03/1999	“Free Bird” by Lynyrd Skynyrd in anticipation of the Discovery’s departure from the ISS.
STS-96	06/04/1999	“Good Morning Starshine” in recognition of the deployment of the Starshine satellite.
STS-96	06/05/1999	“The Longest Day” – Theme from the movie to commemorate what spacecraft communicator in Mission  Control Mario Runco called a “landing of a different kind” referring to D-Day on June 6, 1944.
STS-93	07/23/1999	“Beep Beep” – Louis Prima; music for Eileen Collins provided by her family.
STS-93	07/24/1999	“Brave New Girls” – Teresa
STS-93	07/25/1999	“Someday Soon” written by Judy Collins and performed by Suzy Boguss chosen in honor of Pilot Jeff Ashby
STS-93	07/26/1999	“The Sounds of Silence” – Simon and Garfunkel
STS-93	07/27/1999	“A Little Traveling Music” – Barry Manilow requested by Hawley’s wife Eileen, and The Air Force Song (“Off We Go Into the Wild Blue Yonder”) played for Collins and Coleman.
STS-103	12/20/1999	"Bachman-Turner Overdrive's ""Taking Care of Business"""
STS-103	12/21/1999	"""Rendezvous"" by Bruce Springsteen"
